id,word,correct_sense_id,text
161,announce,211,Even though the U.S. also has supported Canadian membership<com> it has n<qu>t been a Washington priority. <qu>The fact that we might not side with the Americans may be a reason why Canada<qu>s membership in the OAS has n<qu>t been<com> over the years<com> an item high on the U.S. agenda<com><qu> said Allan Gotlieb<com> former Canadian ambassador to the U.S.. The Canadian application is expected to be **announced** in San Jose<com> Costa Rica<com> by Canadian Prime Minister Brian Mulroney<com> who is attending a centenary celebration of Costa Rican democracy. <qu>Canada has a larger and more beneficial role to play in the hemisphere<com><qu> Mr. Mulroney said recently. Some Canadian political commentators have opposed Canada<qu>s joining what they see as a U.S.-dominated organization.
169,announce,211,In the San Francisco Bay area<com> more than 13<com>000 people were homeless and landslides threatened more houses. House-Senate conferees agreed to continue production of Grumman Corp.<qu>s F-14 jet and to provide more than $3.8 billion during the current fiscal year to develop a space-based anti-missile system. The final package is expected to be **announced** within the next week. The White House has decided to seek changes in pesticide law that are aimed at speeding the removal of harmful chemicals from the food supply. The changes<com> which could be announced as early as today<com> would apply to pesticides and other substances found on fresh and processed foods<com> officials said.
219,announce,211,Is there some magic in it that assures results ? ? When Peter B. Kyne (Pride Of Palomar<com> 43) informed us in 1921 that we had an instinctive dislike for the Japanese<com> did the heated debates of the Californians settle the truth or falsity of the proposition ? ? The Leopard<qu>s Spots came from the pen of Thomas Dixon in 1902<com> and in this he **announced** an <qu>unchangeable<qu> law. If a child had a single drop of Negro blood<com> he would revert to the ancestral line which<com> except as slaves under a superior race<com> had not made one step of progress in 3<com>000 years. That doctrine has been accepted by many<com> but has it produced good results ? ?
245,approve,72,It also ordered P&G to produce more studies to buttress its claims that Metamucil can lower cholesterol. But the agency has n<qu>t yanked psyllium off store shelves. If the FDA **approves** the new uses of psyllium<com> other companies are expected to rush to market with psyllium products. <qu>It<qu>s going to be a sensational thing<com><qu> says Mr. Krishnamurthy of P&G in Bombay. Says psyllium exporter Mr. Patel : <qu>I just got back yesterday from the U.S..
253,approve,72,The drug will be given treatment investigational new drug status<com> a label accorded to drugs believed effective but lacking formal approval. The move will make the drug available free of charge for a time to children with the disease and symptoms of advanced infection. Adults with AIDS have had access to AZT since FDA **approved** the drug<qu>s usage for adults in March 1987. But despite more than two years of research showing AZT can relieve dementia and other symptoms in children<com> the drug still lacks federal approval for use in the youngest patients. As a result<com> many youngsters have been unable to obtain the drug and<com> for the few exceptions<com> insurance carriers wo n<qu>t cover its cost of $6<com>400 a year.
257,approve,72,The Securities and Exchange Commission gave provisional six-month approval to the Big Board basket at a meeting late yesterday. The SEC at the same time approved a similar but smaller basket product on the Chicago Board Options Exchange<com> where the minimum will be $1.7 million. Also **approved** was a plan to trade stock portfolios by computer after regular hours on the Midwest Stock Exchange. The basket products are <qu>an evolutionary step<qu> in solving problems in trading big blocks of stock that came to light in the 1987 market crash<com> said SEC Commissioner Joseph Grundfest. New SEC Chairman Richard Breeden<com> overseeing his first public meeting<com> said there have been concerns that the Big Board<qu>s basket could attract investors with a <qu>short-term perspective<qu> who would rapidly turn over the product<com> thus increasing volatility.
316,area,170,Suppliers and subcontractors are experiencing heightened pressure to support delivery schedules. And<com> of course<com> there<qu>s the unsteady labor situation. Besides the Machinists pact<com> accords representing 30<com>000 of the company<qu>s engineering and technical employees in the Puget Sound and Wichita<com> Kan.<com> **areas** expire in early December. Also<com> a contract with the United Auto Workers at the company<qu>s helicopter plant in Philadelphia expired Oct. 15. This contract<com> covering about 3<com>000 hourly production and maintenance workers<com> is being extended on a day-to-day basis.
320,area,171,Over time<com> through benchmark surveys<com> the corrected data on service exports and imports have been gathered. The first three major areas of the service sector to be revamped were expenditures by foreign students in the U.S.. (net after expenditures by Americans studying abroad)<com> some exports by professional firms (a law firm billing a German client for services rendered in watching legislation in Washington is as much an export as shipment of an American jet engine)<com> and improved data from travel and tourism. In just these three **areas**<com> the Commerce Department found $23 billion more exports than previously reported and $11.6 billion more imports<com> with the net result that the U.S. service surplus in 1988 increased by $11.3 billion<com> to $19 billion. Combined with recalculations and revisions in other trade areas<com> the value of U.S. net exports that had not previously been recorded was about $20 billion a year. That means that the U.S. trade deficit was running closer to $75 billion than to $95 billion in 1988<com> and $55 billion (annualized) rather than $80 billion in the first quarter of 1989.
361,area,170,Last week<com> the government took three bills to the National Assembly. The proposed legislation is aimed at rectifying some of the inequities in the current land-ownership system. Highlights of the bills<com> as currently framed<com> are : -- A restriction on the amount of real estate one family can own<com> to 660 square meters in the nation<qu>s six largest cities<com> but more in smaller cities and rural **areas**. The government will penalize offenders<com> but wo n<qu>t confiscate property. -- A tax of between 3% and 6% on property holdings that exceed the governmentset ceiling.
373,area,170,Las Vegas promises<com> or threatens<com> to become a giant carnival<com> with rooms to be had for $45 a day or less<com> for visitors uninspired solely by gambling. Amid a riot of jousting knights<com> circus clowns<com> gold-leaf centurions and creatures of the wild<com> lesser competitors will fall. Caesars World Inc. plans to defend its august reputation by sinking $190 million into its opulent Caesars Palace<com> next door to the new Mirage<com> and adding a $100 million shopping **area** reminiscent of Rodeo Drive. The Palace<com> with its marble fountains and toga parties for high rollers<com> is already well-known for its Caesarean theme. The Flamingo Hilton<com> Imperial Palace<com> Frontier and others are pouring millions of dollars into facelifts<com> new room towers and casino floor space just to keep up.
442,area,170,The Watts mall has annual sales of more than $350 per leasable square foot; the figure for a comparable suburban shopping center would be $200. Three other Haagen shopping centers in the Watts area are doing almost as well. A successful low-crime mall in a high-crime **area** violates the more typical inner-city pattern<com> in which commercial areas are taken over by unruly youth<com> gangs<com> and the criminal element<com> with an erosion of the customer base<com> development capital<com> and insurability. Major regional and national chain stores are replaced by mom-and-pop operations offering poorer-quality merchandise at higher prices. Along with the exodus of shopping opportunities is an exodus of the jobs that the major chains used to provide to community residents.
450,area,170,New approaches to mall design and operation make it possible to tap these markets. If the risks and rewards are reasonable<com> developers will respond. Government officials who wonder how important it is for them to encourage development in high-risk **areas** should visit Vermont-Slauson and Grand Boulevard Plaza and decide for themselves. The answer will be obvious. Mr. Titus is a researcher at the Justice Department<qu>s National Institute of Justice.
461,area,170,But many others<com> who want to qualify for employee benefits and unemployment compensation<com> become tipsters for the IRS<com> says Jerry Lackey<com> who manages the IRS project<qu>s force of nine agents in north and central Florida from Orlando. Firms that are paying employment taxes also provide leads to competitors that are n<qu>t<com> he says. In his **area**<com> Mr. Lackey continues<com> the miscreant employers most commonly are in construction -- doing framing<com> drywall<com> masonry and similar work. But a medical clinic with about 20 employees wrongly listed all of them -- including physicians and receptionists -- as independent contractors. The IRS assessed the clinic $350<com>000 in back payroll taxes.
486,area,170,A slim majority (51%) think stock prices will be higher in August 1990 than they were in August 1989. Their verdict on real estate is almost the same. Some 50% expect real estate in their local **area** to increase in value over the next 12 months. By contrast<com> only 32% expect an increase in the price of gold. Since gold tends to soar when inflation is high<com> that finding suggests that people believe inflation remains under control.
490,area,170,Auto insurance rates are soaring. A toxic-waste-dump fire destroyed part of an interstate highway this summer. In Monmouth<com> an important swing **area**<com> Republican freeholders now run on a slogan promising to keep the county <qu>clean and green.<qu> Mr. Florio savors this vindication<com> but at age 52<com> the congressman is also a product of his times and losses. He speaks for the death penalty as if reading from Exodus 21; to increase state revenue he focuses not on <qu>taxes<qu> but on <qu>audits<qu> to cut waste.
516,area,170,Chevron added 1 to 65. The company<com> based in San Francisco<com> said it had to shut down a crude-oil pipeline in the Bay area to check for leaks but added that its refinery in nearby Richmond<com> Calif.<com> was undamaged. Other companies based in the **area** include Hewlett-Packard<com> which rose 1\/4 to 49; National Semiconductor<com> which went up 1\/4 to 7 5\/8<com> and Genentech<com> which eased 1\/4 to 19 5\/8. None of the firms reported any major damage to facilities as a result of the quake. BankAmerica eased 1\/2 to 31 7\/8 and Wells Fargo lost 1\/2 to 81 1\/2; the two bank holding companies<com> based in San Francisco<com> were forced to curtail some operations due to the temblor.
538,area,170,State Farm Mutual Automobile Insurance Co.<com> the largest home and auto insurer in California<com> believes the losses from the earthquake could be somewhat less than the $475 million in damages it expects to pay out for claims resulting from Hurricane Hugo. State Farm<com> based in Bloomington<com> Ind.<com> is also the largest writer of personal-property earthquake insurance in California. Earthquake insurance is sold as a separate policy or a specific endorsement <qu>rider<qu> on a homeowner<qu>s policy in California<com> because of the **area**<qu>s vulnerability to earthquakes. State Farm said about 25% of its policyholders in California have also purchased earthquake insurance. Allstate Insurance Co.<com> a unit of Sears<com> Roebuck & Co.<com> said about 23% of its personal property policyholders -- about 28% in the San Franciso area -- also have earthquake coverage.
566,area,170,Tom Schumacher<com> executive vice president and general manager of the California Trucking Association in Sacremento<com> said his organization urged trucking firms to halt all deliveries into the Bay area yesterday<com> except for emergency-medical supplies. <qu>Some foodstuff shipments will probably resume Thursday<com><qu> he said. <qu>Right now most of the roads into the Bay **area** are closed<com> but the list of closings changes about every 20 minutes. This { Wednesday } morning the San Mateo bridge was open and now we are informed that it is closed<com><qu> Mr. Schumacher said. United Parcel Service<com> Greenwich<com> Conn.<com> said its operations in the San Francisco area have been reduced to 40% of normal.
580,area,170,Crude prices spurted upward in brisk trading on the assumption that heavy earthquake damage occurred to San Francisco area refinery complexes<com> but the rise quickly fizzled when it became apparent that oil operations were n<qu>t severely curtailed. Trading on little specific information<com> market players overnight in Tokyo began bidding up oil prices. The rally spread into European markets<com> where traders were still betting that the earthquake disrupted the San Francisco **area**<qu>s large oil refining plants. By yesterday morning<com> much of the world was still unable to reach San Francisco by telephone. West Texas Intermediate was bid up more than 20 cents a barrel in many overseas markets.
591,area,170,Wall Street Journal reporters called companies with headquarters or facilities in the Bay **area** in a bid to assess the damage to their operations caused by Tuesday<qu>s earthquake. The calls reached many<com> but certainly not all<com> of the publicly held companies with operations in the area. In most cases damage to company facilities and operations was minimal.
595,area,170,Company<com> with 1<com>750 workers in area<com> is fully functional. ATARI CORP.<com> Sunnyvale<com> maker of personal computers and software<com> annual sales of $700 million<com> Amex<com> had minor damage and expects to be fully operational by tomorrow. BANKAMERICA Corp.<com> San Francisco<com> bank holding company<com> annual revenue of $10.2 billion<com> NYSE<com> yesterday had no power at its headquarters<com> 80 of its 433 Northern California branches were closed and 250 of 750 automatic teller machines were closed in the **area**. Securities trading was conducted in a backup facility in Concord. BECHTEL CORP.<com> San Francisco<com> engineering and construction concern<com> annual sales of $4 billion<com> had only minor structural damage at its three buildings in the city<com> but its computers were knocked out.
630,ask,215,White House officials acknowledged yesterday that Democrats still are reluctant to publicly express support for the Packwood-Roth capital gains proposal because they are loath to buck Sen. Mitchell. As a result<com> the officials said they are open to making a variety of deals with Senate Democrats to win their support for a capital-gains tax cut. Democrats **asked** in this week for discussions with President Bush have suggested ways of <qu>tinkering<qu> with the Packwood-Roth proposal<com> suggesting an interest in looking for a modified version they can back<com> one official said. In addition<com> White House aides think that there are numerous other important measures Democrats badly wanted passed -- such as the scaling back of a controversial catastrophic health-care plan for the elderly -- that might provide the president leverage in cutting deals with Democrats. A capital-gains tax cut might be paired with such measures to help ensure passage.
704,ask,214,At the scheduled time<com> Mr. Stone entered a conference room in a building near where he worked. After the three members of the court introduced themselves<com> the chairman of the panel said : <qu>Go ahead and tell us what happened. We may **ask** questions as you go along<com> or we may wait until the end.<qu> No lawyers or tape recorders were present. The only extra people were a couple of personnel specialists<com> one of whom knew Mr. Stone<qu>s case intimately and would help fill in any facts needed to give the court the full picture.
707,ask,214,The Camden County congressman still carries himself with a trademark <qu>I<qu>m-coming-down-your-throat<qu> intensity<com> but at a pause in Newark<qu>s Columbus Day parade recently<com> he was dancing with his wife in the middle of the avenue in the city<qu>s old Italian-American ward. After losing by fewer than 1<com>800 votes in the 1981 governor<qu>s race<com> he has prepared himself methodically for this moment<com> including deciding in recent years he could no longer support curbs on federal funding for Medicaid abortions. <qu>If you<qu>re going to be consistent and say it is a constitutionally protected right<com><qu> he **asks**<com> <qu>how are you going to say an upscale woman who can drive to the hospital or clinic in a nice car has a constitutional right and someone who is not in great shape financially does not ?<qu> Mr. Courter<com> by comparison<com> seems a shadow of the confident hawk who defended Oliver North before national cameras at Iran-Contra hearings two years ago. Looking back<com> he says he erred by stating his <qu>personal<qu> opposition to abortion instead of assuring voters that he would n<qu>t impose his views on <qu>policy<qu> as governor.
723,ask,215,It must be granted that the flouting of convention<com> no matter how well intentioned one may be<com> is sure to lead to trouble<com> or at least to the discomfort that goes with social disapproval. Even so<com> many of the things that happened to Wright and Olgivanna seem inordinately severe. Their afflictions centered on one maddening difficulty : Miriam held up the divorce proceedings that she herself had **asked** for. Reporters began to trail Miriam everywhere<com> and to encourage her to make appalling statements about Wright and his doings. Flocks of writs<com> attachments<com> and unpleasant legal papers of every sort began to fly through the air.
726,ask,214,<qu>This is a horrible way to live<qu><com> Wright went on. <qu>You are being strangled by traffic<qu>. He was then **asked** for a solution of the difficulty<com> and began to talk trenchant sense<com> though private anguish showed through in the vehemence of his manner. <qu>Take a gigantic knife and sweep it over the Loop<qu><com> Wright said. <qu>Cut off every building at the seventh floor.
745,ask,215,You might have failed. I think it is rather foolhardy to trust to luck<qu>. Others mentioned that I might have had to **ask** friends or even strangers for help and that to be stranded in a foreign country without sufficient funds did not contribute to international understanding. The debate needed no additional controversy and soon I could ask each individually what he expected from life<com> what his hopes were and what his fears. Though the four boys and two girls<com> the youngest nineteen years of age<com> the oldest twenty-four<com> came from varying backgrounds and had different professional and personal interests<com> there was surprising agreement among them.
776,ask,215,Watson had presented his pouch and been led to the bombproof. The officer had told him that both lists must be checked. Watson had given his name and **asked** for a safe-conduct pass. The officer<com> surprised<com> said he would have to see. Watson had nodded absently and muttered that he would check the lists himself later.
784,ask,214,Without exception Hino<qu>s brothers turned to either one or both of their father<qu>s occupations<com> but Hino showed a talent for neither and instead spent most of his time on the beach where he repaired nets and proved immensely popular as a storyteller. He had gone into the Japanese navy<com> had been trained as an officer<com> had participated in one or two battles -- he never went into detail regarding his military experience -- and at the age of twenty-five<com> quite as a bolt out of the blue<com> he had walked into the mission as if he belonged here and had become a Christian. Rector was often curious;; often tempted to **ask** questions but he never did. If and when Hino decided to tell him about his experiences<com> he would do so unasked. Rector had no doubt that Hino would come back from the village bursting with information<com> ready to impart it with his customary gusto<com> liberally embellished with his active imagnation.
789,ask,214,I came to Warsaw twice<com> but there was that damned ghetto wall<qu> <qu>I understand<qu>. Styka blew his nose again. <qu>Were you able to make the arrangements<qu> ? ? Andrei **asked**. <qu>There is a man named Grabski who is the foreman in charge of the bricklayers at Majdanek. I did exactly as instructed.
792,ask,214,As Kate came swiftly down the stairs to the hall she saw Colonel Marsh framed in the doorway<com> his face set in the same vulnerable look Juanita wore. Kate greeted him gravely<com> uneasy with misgivings at his visit. <qu>What brings you here again<com> Colonel Marsh<qu> ? ? She **asked**<com> taking him and Juanita into the parlor where the shutters were closed against the afternoon sun. <qu>I stopped to say goodbye<com> Mrs. Lattimer<com> and to tell you how sorry I was to hear about your baby. I wish our doctor could have saved her<qu>.
797,ask,215,<qu>Leave me your address. I will send you the best the quarter has to offer<qu>. Michelangelo hurried to Sangallo<qu>s solitary bachelor room with his sketches<com> **asked** the architect to design a stand which would simulate the seated Madonna. Sangallo studied the drawings and improvised a trestle couch. Michelangelo bought some scrap lumber.
809,ask,214,What now ? ? Slowly<com> like a man grown old<com> he took Eli<qu>s hand and led him below to the tower study<com> guiding him to a chair beside the little hearth where a fire still burned. <qu>Plot<qu> ? ? John **asked** tiredly. <qu>Monsieur Favre just paid me a visit. I went to your rooms<com> and Anthony told me you were here.
818,ask,215,Laura Keene had been in the green room. The commotion had brought her into the wings. Since she could not act<com> one part suited her as well as any other<com> and so she was the first person to offer Mr. Lincoln a glass of water<com> holding it up to the box<com> high above her head<com> to Miss Harris<com> who had **asked** for it. She had been one of the first to collect her wits. It was not so much that the shot had stunned the audience<com> as that they had been stunned already.
909,ask,214,It was then that I saw what the drawn-back covers revealed. There were bloodspots on the sheet. <qu>What<qu>s this<qu> ? ? I **asked**. <qu>Your period<qu> ? ? She shook her head.
944,ask,215,Nobody had addressed her in broken English at any of those places<com> nobody had suggested that she wasn<qu>t American. There are Spanish girls who look like Tommy Momoyama<com> brunettes with a Moorish hint of the Orient in their faces;; there are beauties from the Balkan states who are similarly endowed<com> and -- back in the blessed United States -- they were regarded simply as pretty women. Now<com> having been sent halfway around the world on a job she had not **asked** for<com> Tommy was being humiliated at every turn. She looked around<com> self-consciously. Four little Japanese waitresses were murdering the English language at the counter -- Yuki Kobayashi happened to be one of them.
959,ask,214,<qu>Speaking of nonism : the other day<com> in a story about a sit-down demonstration<com> the Paris Herald Tribune wrote<com><qu> The non-violence became noisier. And then Eichmann was quoted as saying<com> in non-English<com> that Hitler<qu>s plan to exterminate the Jews was nonsense<qu>. <qu>If we can not tell evil<com> horror<com> and insanity from nonsense<com> what is the future of humor and comedy<qu> ? ? Moreland **asked**<com> grimly. <qu>Cryptic<qu><com> I said. <qu>They require<com> for existence<com> a brave spirit and a high heart<com> and where do you find these ? ?
991,attempt,274,<qu>What did you think about his mental state<qu> ? ? <qu>I think our report sums up our finding<qu><com> Gross answered. <qu>Do n<qu>t forget<com> here was a man who had been accusing his colleagues for almost a year of willfully **attempting** to present an incorrect report. <qu>This was not merely alleging errors<com> but was carried out by day-after-day allegations in memos<com> written charges of serious consequence. <qu>This is a distressing thing.
998,attempt,274,It was then that they heard the tread of one descending and<com> in some perturbation glancing up<com> saw the patronne coming towards them as they gained the landing. <qu>Bonjour<com> messieurs<com> vous etes matinals<qu><com> she greeted them pleasantly. Alex explained that they had been out for a stroll before breakfast while the doctor edged around behind him<com> **attempting** to hide the protuberance at his left side behind Alex<qu>s arm and back. <qu>Vous voulez vos petits dejeuners tout de suite alors<qu> ? ? Their hostess enquired. Alex told her that there was no hurry for their breakfasts<com> trying at the same time to effect a speedy separation of the persons before and behind him.
1015,authority,148,A California official also said he sent the Federal Bureau of Investigation a packet of documents relating to a previously reported $400<com>000 contribution from Lincoln<qu>s parent solicited by Sen. Alan Cranston (D.<com> Calif.). Federal examiner Alex Barabolak said Lincoln<qu>s operations amounted to <qu>pyramiding debt to provide a luxurious life style for its owners.<qu> Another federal examiner<com> John Meek<com> said Lincoln<qu>s principal owner<com> Charles Keating Jr.<com> and his family drew off at least $34 million from the thrift in salaries<com> bonuses and proceeds from securities sales in the 3 1\/2 years before federal **authorities** seized it earlier this year. Lincoln<qu>s collapse may cost taxpayers as much as $2.5 billion<com> according to estimates<com> making it the most expensive thrift failure in history. <qu>I think there<qu>s overwhelming evidence to indicate probable criminal activity<com><qu> said Mr. Meek<com> who participated last year in an examination of the Irvine<com> Calif.<com> thrift.
1033,authority,148,But the pullout is an embarrassment to New York City officials<com> coming at a time of high office building vacancy rates and departures by other major companies. Mobil Corp. is in the process of vacating its headquarters here<com> and huge operations like J.C. Penney & Co. and Trans World Airlines have recently left. New York **authorities**<com> informed yesterday about the move<com> reacted with concern and even some anger to the idea of the nation<qu>s third-largest corporation leaving without giving them an opportunity to accommodate it. <qu>We are dismayed<com> but there<qu>s nothing we can do about it now<com><qu> said Stanley Grayson<com> New York City deputy mayor for finance and economic development. Meanwhile<com> Dallas welcomed the move.
1041,authority,148,Revenue doubled from two years ago. That is<com> if the company reported results correctly. The Asahi Shimbun<com> a Japanese daily<com> last month reported that Aichi revised its tax calculations after being challenged for allegedly failing to report all of its income to tax **authorities** over a two-year period. The Tokyo Regional Taxation Office declines to comment<com> and Mr. Kori<com> the tycoon<qu>s secretary<com> says the problem simply resulted from a difference of opinion over what was considered income. The small<com> wiry Mr. Morishita comes across as an outspoken man of the world.
1130,avoid,465,If you<qu>re like most people<com> you said it<qu>s a holding that goes completely sour -- maybe a bond that defaults or a stock whose value disappears in a bankruptcy proceeding. <qu>People tend to see risk primarily on that one dimension<com><qu> says Timothy Kochis<com> national director of personal financial planning for accountants Deloitte<com> Haskins & Sells. But therein lies another aspect of investment risk : the hazard of shaping your portfolio to **avoid** one or more types of risk and being blind-sided by others. This is clearly not good news to all you people who sleep like babies every night<com> lulled by visions of your money sitting risk-free in six-month CDs. Risk wears many disguises<com> and investments that are low in one type of obvious risk can be distressingly high in other<com> less obvious kinds.
1139,avoid,465,Primary feelings of the world come neither as a collection of clearly known objects (houses<com> trees<com> implements<com> etc.) nor a collection of isolated and neutral sensory qualities. In contrast to all this<com> primary data are data of a self involved in environing processes and powers. The most primitive feelings are rudimentary value feelings<com> both positive and negative : a desire to appropriate this or that part of the environment into oneself;; a desire to **avoid** and repel this or that other part. These desires presuppose a sense of causally efficacious powers in which one is involved<com> some working for one<qu>s good<com> others threatening ill. Gone is the tabula rasa of the mind.
1158,base,34,Expect <qu>tricky<qu> stuff from pitchers<com> says Mr. Weaver<com> the manager. Expect brushbacks but no beanballs<com> says Mr. McEnaney. Even expect stolen **bases**<com> says the wiry and fit Mr. Campaneris : <qu>If you know how to slide<com> it<qu>s no problem<com><qu> he says. And expect slower fastballs. <qu>I<qu>m not so young anymore<com><qu> concedes the cigar-chomping<com> 48-year-old Mr. Tiant.
1181,base,31,I welcome the emphasis that is now being put on the drug problem. The efforts to get to the people who are addicted<com> try to rehabilitate them; if they can not be rehabilitated<com> at least to contain them; to educate people<com> to strongly discourage use of drugs by people who are casual users and first users<com> to stop this process among the young -- all of these things I think are extremely important. But<com> I have to tell you that it seems to me that the conceptual **base** of the current program is flawed and the program is not likely to work. The conceptual base -- a criminal-justice approach -- is the same that I have worked through before<com> in the Nixon administration when I was budget director and secretary of the treasury with jurisdiction over the Customs. We designed a comprehensive program<com> and we worked hard on it.
1195,base,29,Britain<qu>s current account deficit dropped to # 1.6 billion ($2.56 billion) in September from an adjusted # 2 billion ($3.21 billion) the previous month<com> but the improvement comes amid increasing concern that a recession could strike the U.K. economy next year. The Confederation of British Industry<qu>s latest survey shows that business executives expect a pronounced slowdown<com> largely because of a 16-month series of interest-rate increases that has raised banks<qu> **base** lending rates to 15%. <qu>The outlook has deteriorated since the summer<com> with orders and employment falling and output at a standstill<com><qu> said David Wigglesworth<com> chairman of the industry group<qu>s economic committee. He also said investment by businesses is falling off.
1218,base,31,The state of Illinois is suing the charity for fraud in Chicago<com> along with Telesystems Marketing Inc.<com> its Houston-based fund raiser. Both deny wrongdoing. The charity admits spending a lot on fund raising<com> but says that was necessary to establish a donor **base** it can tap at much lower cost in years to come. Michael Burns<com> president of Telesystems<com> says his concern has only benefited from the publicity surrounding the case<com> noting that three other charities have signed on as clients because they were impressed with the amount he raised for National Children<qu>s. Meanwhile<com> a state court judge has allowed the charity to go on soliciting funds.
1237,base,29,The key U.S. and foreign annual interest rates below are a guide to general levels but do n<qu>t always represent actual transactions. PRIME RATE : 10 1\/2%. The **base** rate on corporate loans at large U.S. money center commercial banks. FEDERAL FUNDS : 8 11\/16% high<com> 8 5\/8% low<com> 8 5\/8% near closing bid<com> 8 11\/16% offered. Reserves traded among commercial banks for overnight use in amounts of $1 million or more.
